problem_statement,problem_tags,contestId,index,name,type,points,rating
1783A - Make it Beautiful,"constructive algorithms,math,sortings",1783,A,Make it Beautiful,PROGRAMMING,,800.0
1781H2 - Window Signals (hard version),,1781,H2,Window Signals (hard version),PROGRAMMING,1500.0,3500.0
1781H1 - Window Signals (easy version),,1781,H1,Window Signals (easy version),PROGRAMMING,3750.0,3200.0
1781G - Diverse Coloring,"constructive algorithms,trees",1781,G,Diverse Coloring,PROGRAMMING,3500.0,3200.0
1781F - Bracket Insertion,"combinatorics,dp,math,trees",1781,F,Bracket Insertion,PROGRAMMING,3250.0,2700.0
1781E - Rectangle Shrinking,"binary search,brute force,data structures,greedy,implementation,two pointers",1781,E,Rectangle Shrinking,PROGRAMMING,2750.0,2300.0
1781D - Many Perfect Squares,"brute force,math,number theory",1781,D,Many Perfect Squares,PROGRAMMING,2000.0,1800.0
1781C - Equal Frequencies,"brute force,constructive algorithms,greedy,implementation,sortings,strings",1781,C,Equal Frequencies,PROGRAMMING,1500.0,1600.0
1781B - Going to the Cinema,"brute force,greedy,sortings",1781,B,Going to the Cinema,PROGRAMMING,1000.0,1000.0
1781A - Parallel Projection,"geometry,math",1781,A,Parallel Projection,PROGRAMMING,500.0,800.0
1780G - Delicious Dessert,"binary search,dsu,hashing,math,number theory,string suffix structures",1780,G,Delicious Dessert,PROGRAMMING,2500.0,2400.0
1780F - Three Chairs,"bitmasks,brute force,combinatorics,data structures,dp,number theory,sortings",1780,F,Three Chairs,PROGRAMMING,2000.0,2300.0
1780E - Josuke and Complete Graph,"binary search,brute force,data structures,math,number theory",1780,E,Josuke and Complete Graph,PROGRAMMING,1750.0,2400.0
1780D - Bit Guessing Game,"binary search,bitmasks,constructive algorithms,interactive",1780,D,Bit Guessing Game,PROGRAMMING,1500.0,1800.0
1780B - GCD Partition,"brute force,greedy,math,number theory",1780,B,GCD Partition,PROGRAMMING,1000.0,1100.0
1780A - Hayato and School,"constructive algorithms,greedy",1780,A,Hayato and School,PROGRAMMING,500.0,800.0
1779H - Olympic Team Building,"brute force,meet-in-the-middle",1779,H,Olympic Team Building,PROGRAMMING,4000.0,3500.0
1779G - The Game of the Century,"constructive algorithms,graphs,shortest paths",1779,G,The Game of the Century,PROGRAMMING,2750.0,3000.0
1779F - Xorcerer's Stones,"bitmasks,constructive algorithms,dp,trees",1779,F,Xorcerer's Stones,PROGRAMMING,2250.0,2500.0
1779E - Anya's Simultaneous Exhibition,"constructive algorithms,graphs,greedy,interactive,sortings",1779,E,Anya's Simultaneous Exhibition,PROGRAMMING,2250.0,2400.0
1779D - Boris and His Amazing Haircut,"constructive algorithms,data structures,dp,dsu,greedy,sortings",1779,D,Boris and His Amazing Haircut,PROGRAMMING,1500.0,1700.0
1779C - Least Prefix Sum,"data structures,greedy",1779,C,Least Prefix Sum,PROGRAMMING,1250.0,1600.0
1779B - MKnez's ConstructiveForces Task,"constructive algorithms,math",1779,B,MKnez's ConstructiveForces Task,PROGRAMMING,750.0,900.0
1779A - Hall of Fame,"constructive algorithms,greedy,strings",1779,A,Hall of Fame,PROGRAMMING,500.0,800.0
1778F - Maximizing Root,"dfs and similar,dp,graphs,math,number theory,trees",1778,F,Maximizing Root,PROGRAMMING,2750.0,2600.0
1778E - The Tree Has Fallen!,"bitmasks,dfs and similar,math,trees",1778,E,The Tree Has Fallen!,PROGRAMMING,2250.0,2500.0
1778D - Flexible String Revisit,"combinatorics,dp,math,probabilities",1778,D,Flexible String Revisit,PROGRAMMING,1750.0,2100.0
1778C - Flexible String,"bitmasks,brute force,strings",1778,C,Flexible String,PROGRAMMING,1250.0,1600.0
1778B - The Forbidden Permutation,"greedy,math",1778,B,The Forbidden Permutation,PROGRAMMING,1000.0,1300.0
1778A - Flip Flop Sum,"greedy,implementation",1778,A,Flip Flop Sum,PROGRAMMING,500.0,800.0
1777F - Comfortably Numb,"bitmasks,data structures,divide and conquer,strings,trees",1777,F,Comfortably Numb,PROGRAMMING,2750.0,2400.0
1777E - Edge Reverse,"binary search,dfs and similar,graphs,trees",1777,E,Edge Reverse,PROGRAMMING,2250.0,2200.0
1777D - Score of a Tree,"bitmasks,combinatorics,dfs and similar,dp,math,probabilities,trees",1777,D,Score of a Tree,PROGRAMMING,2000.0,1900.0
1777C - Quiz Master,"binary search,math,number theory,sortings,two pointers",1777,C,Quiz Master,PROGRAMMING,1500.0,1700.0
1777B - Emordnilap,"combinatorics,greedy,math",1777,B,Emordnilap,PROGRAMMING,1000.0,900.0
1777A - Everybody Likes Good Arrays!,"greedy,math",1777,A,Everybody Likes Good Arrays!,PROGRAMMING,500.0,800.0
1776N - Count Permutations,math,1776,N,Count Permutations,PROGRAMMING,,3500.0
1776M - Parmigiana With Seafood,"binary search,dp,greedy,trees",1776,M,Parmigiana With Seafood,PROGRAMMING,,3000.0
1776L - Controllers,"binary search,math",1776,L,Controllers,PROGRAMMING,,1500.0
1776K - Uniform Chemistry,"dp,math",1776,K,Uniform Chemistry,PROGRAMMING,,3200.0
1776J - Italian Data Centers,"graphs,shortest paths",1776,J,Italian Data Centers,PROGRAMMING,,2500.0
1776I - Spinach Pizza,"games,geometry,greedy,interactive",1776,I,Spinach Pizza,PROGRAMMING,,2500.0
1776H - Beppa and SwerChat,two pointers,1776,H,Beppa and SwerChat,PROGRAMMING,,1300.0
1776G - Another Wine Tasting Event,"combinatorics,constructive algorithms,math,strings",1776,G,Another Wine Tasting Event,PROGRAMMING,,2100.0
1776F - Train Splitting,"constructive algorithms,graphs,greedy",1776,F,Train Splitting,PROGRAMMING,,1700.0
1776E - Crossing the Railways,"data structures,dp",1776,E,Crossing the Railways,PROGRAMMING,,3500.0
1776D - Teamwork,"constructive algorithms,greedy,math",1776,D,Teamwork,PROGRAMMING,,2800.0
1776C - Library game,"games,greedy,interactive,sortings",1776,C,Library game,PROGRAMMING,,2500.0
1776B - Vittorio Plays with LEGO Bricks,"dp,geometry",1776,B,Vittorio Plays with LEGO Bricks,PROGRAMMING,,2200.0
1776A - Walking Boy,greedy,1776,A,Walking Boy,PROGRAMMING,,800.0
1775F - Laboratory on Pluto,"constructive algorithms,dp,greedy,math",1775,F,Laboratory on Pluto,PROGRAMMING,3000.0,2500.0
1775E - The Human Equation,"greedy,implementation",1775,E,The Human Equation,PROGRAMMING,2250.0,2100.0
1775D - Friendly Spiders,"dfs and similar,graphs,math,number theory,shortest paths",1775,D,Friendly Spiders,PROGRAMMING,2000.0,1800.0
1775C - Interesting Sequence,"bitmasks,math",1775,C,Interesting Sequence,PROGRAMMING,1500.0,1600.0
1775B - Gardener and the Array,"bitmasks,constructive algorithms",1775,B,Gardener and the Array,PROGRAMMING,1000.0,1300.0
1775A2 - Gardener and the Capybaras (hard version),"constructive algorithms,greedy",1775,A2,Gardener and the Capybaras (hard version),PROGRAMMING,500.0,900.0
1775A1 - Gardener and the Capybaras (easy version),"brute force,constructive algorithms,implementation",1775,A1,Gardener and the Capybaras (easy version),PROGRAMMING,500.0,800.0
1774H - Maximum Permutation,constructive algorithms,1774,H,Maximum Permutation,PROGRAMMING,4000.0,3500.0
1774G - Segment Covering,"brute force,combinatorics,constructive algorithms,data structures,dp,trees",1774,G,Segment Covering,PROGRAMMING,3250.0,3200.0
1774F2 - Magician and Pigs (Hard Version),"binary search,brute force,data structures,implementation",1774,F2,Magician and Pigs (Hard Version),PROGRAMMING,1000.0,2700.0
1774F1 - Magician and Pigs (Easy Version),"brute force,data structures,implementation",1774,F1,Magician and Pigs (Easy Version),PROGRAMMING,1500.0,2400.0
1774E - Two Chess Pieces,"dfs and similar,dp,greedy,trees",1774,E,Two Chess Pieces,PROGRAMMING,2000.0,1900.0
1774D - Same Count One,"brute force,constructive algorithms,greedy,implementation,two pointers",1774,D,Same Count One,PROGRAMMING,1500.0,1600.0
1774C - Ice and Fire,"constructive algorithms,dp,greedy",1774,C,Ice and Fire,PROGRAMMING,1500.0,1300.0
1774B - Coloring,"constructive algorithms,greedy,math",1774,B,Coloring,PROGRAMMING,1000.0,1500.0
1774A - Add Plus Minus Sign,"constructive algorithms,math",1774,A,Add Plus Minus Sign,PROGRAMMING,500.0,800.0
1773L - Lisa's Sequences,dp,1773,L,Lisa's Sequences,PROGRAMMING,,3500.0
1773K - King's Puzzle,constructive algorithms,1773,K,King's Puzzle,PROGRAMMING,,1900.0
1773J - Jumbled Trees,"constructive algorithms,math",1773,J,Jumbled Trees,PROGRAMMING,,2900.0
1773I - Interactive Factorial Guessing,"brute force,games,implementation,interactive",1773,I,Interactive Factorial Guessing,PROGRAMMING,,2500.0
1773H - Hot and Cold,"binary search,interactive",1773,H,Hot and Cold,PROGRAMMING,,2600.0
1773G - Game of Questions,"bitmasks,combinatorics,dp,fft,math,probabilities",1773,G,Game of Questions,PROGRAMMING,,2800.0
1773F - Football,constructive algorithms,1773,F,Football,PROGRAMMING,,800.0
1773E - Easy Assembly,"greedy,sortings",1773,E,Easy Assembly,PROGRAMMING,,1400.0
1773D - Dominoes,"combinatorics,flows,graph matchings,greedy",1773,D,Dominoes,PROGRAMMING,,2600.0
1773C - Cactus Meets Torus,,1773,C,Cactus Meets Torus,PROGRAMMING,,3500.0
1773B - BinCoin,"binary search,divide and conquer,hashing,implementation,probabilities,trees",1773,B,BinCoin,PROGRAMMING,,2200.0
1773A - Amazing Trick,"constructive algorithms,graph matchings,math,probabilities",1773,A,Amazing Trick,PROGRAMMING,,1900.0
1772G - Gaining Rating,"binary search,greedy,implementation,math,sortings,two pointers",1772,G,Gaining Rating,PROGRAMMING,,2200.0
1772F - Copy of a Copy of a Copy,"constructive algorithms,dfs and similar,graphs,implementation,sortings",1772,F,Copy of a Copy of a Copy,PROGRAMMING,,2000.0
1772E - Permutation Game,games,1772,E,Permutation Game,PROGRAMMING,,1700.0
1772D - Absolute Sorting,"constructive algorithms,math",1772,D,Absolute Sorting,PROGRAMMING,,1400.0
1772C - Different Differences,"constructive algorithms,greedy,math",1772,C,Different Differences,PROGRAMMING,,1000.0
1772B - Matrix Rotation,"brute force,implementation",1772,B,Matrix Rotation,PROGRAMMING,,800.0
1772A - A+B?,implementation,1772,A,A+B?,PROGRAMMING,,800.0
1771F - Hossam and Range Minimum Query,"binary search,bitmasks,data structures,hashing,probabilities,strings,trees",1771,F,Hossam and Range Minimum Query,PROGRAMMING,3500.0,2500.0
1771E - Hossam and a Letter,"brute force,dp,implementation,two pointers",1771,E,Hossam and a Letter,PROGRAMMING,2750.0,2500.0
1771D - Hossam and (sub-)palindromic tree,"brute force,data structures,dfs and similar,dp,strings,trees",1771,D,Hossam and (sub-)palindromic tree,PROGRAMMING,2250.0,2100.0
1771C - Hossam and Trainees,"greedy,math,number theory",1771,C,Hossam and Trainees,PROGRAMMING,1750.0,1600.0
1771B - Hossam and Friends,"binary search,constructive algorithms,dp,two pointers",1771,B,Hossam and Friends,PROGRAMMING,1000.0,1400.0
1771A - Hossam and Combinatorics,"combinatorics,math,sortings",1771,A,Hossam and Combinatorics,PROGRAMMING,500.0,900.0
"1770H - Koxia, Mahiru and Winter Festival",constructive algorithms,1770,H,"Koxia, Mahiru and Winter Festival",PROGRAMMING,4000.0,3500.0
1770G - Koxia and Bracket,"divide and conquer,fft,math",1770,G,Koxia and Bracket,PROGRAMMING,3250.0,3400.0
1770F - Koxia and Sequence,"bitmasks,combinatorics,dp,math,number theory",1770,F,Koxia and Sequence,PROGRAMMING,2500.0,3100.0
1770E - Koxia and Tree,"combinatorics,dfs and similar,dp,dsu,math,probabilities,trees",1770,E,Koxia and Tree,PROGRAMMING,2000.0,2400.0
1770D - Koxia and Game,"constructive algorithms,data structures,dfs and similar,dsu,flows,games,graph matchings,graphs,implementation",1770,D,Koxia and Game,PROGRAMMING,1500.0,2000.0
1770C - Koxia and Number Theory,"brute force,chinese remainder theorem,math,number theory",1770,C,Koxia and Number Theory,PROGRAMMING,1250.0,1700.0
1770B - Koxia and Permutation,constructive algorithms,1770,B,Koxia and Permutation,PROGRAMMING,750.0,1000.0
1770A - Koxia and Whiteboards,"brute force,greedy",1770,A,Koxia and Whiteboards,PROGRAMMING,500.0,1000.0
1769D3 - Игра в Девятку III,"*special,brute force",1769,D3,Игра в Девятку III,PROGRAMMING,,2300.0
1769D2 - Игра в Девятку II,"*special,brute force",1769,D2,Игра в Девятку II,PROGRAMMING,,2200.0
1769D1 - Игра в Девятку I,"*special,brute force,dp",1769,D1,Игра в Девятку I,PROGRAMMING,,1800.0
1769C2 - Подкрутка II,"*special,dp",1769,C2,Подкрутка II,PROGRAMMING,,1300.0
1769C1 - Подкрутка I,"*special,brute force,dp,greedy",1769,C1,Подкрутка I,PROGRAMMING,,1200.0
1769B2 - Копирование файлов II,"*special,binary search,brute force,math",1769,B2,Копирование файлов II,PROGRAMMING,,1400.0
1769B1 - Копирование файлов I,"*special,brute force,implementation,math",1769,B1,Копирование файлов I,PROGRAMMING,,1000.0
1769A - Узкая дорога,"*special,math",1769,A,Узкая дорога,PROGRAMMING,,800.0
1768F - Wonderful Jump,"dp,greedy",1768,F,Wonderful Jump,PROGRAMMING,3250.0,2900.0
1768E - Partial Sorting,"combinatorics,math,number theory",1768,E,Partial Sorting,PROGRAMMING,2250.0,2300.0
1768D - Lucky Permutation,"constructive algorithms,dfs and similar,graphs,greedy",1768,D,Lucky Permutation,PROGRAMMING,1750.0,1800.0
1768C - Elemental Decompress,"constructive algorithms,greedy,implementation,sortings",1768,C,Elemental Decompress,PROGRAMMING,1500.0,1300.0
1768B - Quick Sort,"greedy,math",1768,B,Quick Sort,PROGRAMMING,1000.0,900.0
1768A - Greatest Convex,"greedy,math,number theory",1768,A,Greatest Convex,PROGRAMMING,500.0,800.0
1767F - Two Subtrees,"data structures,trees",1767,F,Two Subtrees,PROGRAMMING,,3100.0
1767E - Algebra Flash,"bitmasks,brute force,dp,graphs,math,meet-in-the-middle,trees",1767,E,Algebra Flash,PROGRAMMING,,2500.0
1767D - Playoff,"combinatorics,constructive algorithms,dp,greedy,math",1767,D,Playoff,PROGRAMMING,,1500.0
1767C - Count Binary Strings,"data structures,dp",1767,C,Count Binary Strings,PROGRAMMING,,2100.0
1767B - Block Towers,"data structures,greedy,sortings",1767,B,Block Towers,PROGRAMMING,,800.0
1767A - Cut the Triangle,implementation,1767,A,Cut the Triangle,PROGRAMMING,,800.0
1766F - MCF,flows,1766,F,MCF,PROGRAMMING,,2800.0
1766E - Decomposition,"binary search,brute force,data structures,divide and conquer,dp,two pointers",1766,E,Decomposition,PROGRAMMING,,2300.0
1766D - Lucky Chains,"math,number theory",1766,D,Lucky Chains,PROGRAMMING,,1600.0
1766C - Hamiltonian Wall,"dp,implementation",1766,C,Hamiltonian Wall,PROGRAMMING,,1300.0
1766B - Notepad#,implementation,1766,B,Notepad#,PROGRAMMING,,1000.0
1766A - Extremely Round,"brute force,implementation",1766,A,Extremely Round,PROGRAMMING,,800.0
1765N - Number Reduction,greedy,1765,N,Number Reduction,PROGRAMMING,,1500.0
1765M - Minimum LCM,"math,number theory",1765,M,Minimum LCM,PROGRAMMING,,1000.0
1765L - Project Manager,"brute force,data structures,implementation",1765,L,Project Manager,PROGRAMMING,,2400.0
1765K - Torus Path,"greedy,math",1765,K,Torus Path,PROGRAMMING,,1500.0
1765J - Hero to Zero,"graph matchings,math",1765,J,Hero to Zero,PROGRAMMING,,2900.0
1765I - Infinite Chess,"implementation,shortest paths",1765,I,Infinite Chess,PROGRAMMING,,2800.0
1765H - Hospital Queue,"binary search,graphs,greedy,implementation",1765,H,Hospital Queue,PROGRAMMING,,2200.0
1765G - Guess the String,"constructive algorithms,interactive,probabilities",1765,G,Guess the String,PROGRAMMING,,2600.0
1765F - Chemistry Lab,"dp,geometry,probabilities",1765,F,Chemistry Lab,PROGRAMMING,,2200.0
1765E - Exchange,"brute force,math",1765,E,Exchange,PROGRAMMING,,1000.0
1765D - Watch the Videos,"binary search,constructive algorithms,two pointers",1765,D,Watch the Videos,PROGRAMMING,,1700.0
1765C - Card Guessing,"combinatorics,dp,probabilities",1765,C,Card Guessing,PROGRAMMING,,2600.0
1765B - Broken Keyboard,greedy,1765,B,Broken Keyboard,PROGRAMMING,,800.0
1765A - Access Levels,"bitmasks,dsu,flows,graph matchings",1765,A,Access Levels,PROGRAMMING,,2400.0
1764H - Doremy's Paint 2,data structures,1764,H,Doremy's Paint 2,PROGRAMMING,3500.0,3400.0
1764G3 - Doremy's Perfect DS Class (Hard Version),"binary search,interactive",1764,G3,Doremy's Perfect DS Class (Hard Version),PROGRAMMING,500.0,3300.0
1764G2 - Doremy's Perfect DS Class (Medium Version),"binary search,interactive",1764,G2,Doremy's Perfect DS Class (Medium Version),PROGRAMMING,500.0,3000.0
1764G1 - Doremy's Perfect DS Class (Easy Version),"binary search,interactive",1764,G1,Doremy's Perfect DS Class (Easy Version),PROGRAMMING,2000.0,2900.0
1764F - Doremy's Experimental Tree,"brute force,constructive algorithms,dfs and similar,dsu,sortings,trees",1764,F,Doremy's Experimental Tree,PROGRAMMING,2250.0,2500.0
1764E - Doremy's Number Line,"dp,greedy,sortings",1764,E,Doremy's Number Line,PROGRAMMING,2250.0,2400.0
1764D - Doremy's Pegging Game,"combinatorics,dp,math",1764,D,Doremy's Pegging Game,PROGRAMMING,1750.0,2000.0
1764C - Doremy's City Construction,"graphs,greedy",1764,C,Doremy's City Construction,PROGRAMMING,1500.0,1400.0
1764B - Doremy's Perfect Math Class,"math,number theory",1764,B,Doremy's Perfect Math Class,PROGRAMMING,1000.0,900.0
1764A - Doremy's Paint,greedy,1764,A,Doremy's Paint,PROGRAMMING,500.0,800.0
1763F - Edge Queries,"data structures,dfs and similar,dp,dsu,graphs,trees",1763,F,Edge Queries,PROGRAMMING,3000.0,3000.0
1763E - Node Pairs,"dp,graphs,math,number theory",1763,E,Node Pairs,PROGRAMMING,2000.0,2200.0
1763D - Valid Bitonic Permutations,"combinatorics,dp,implementation,math,number theory",1763,D,Valid Bitonic Permutations,PROGRAMMING,2000.0,2200.0
1763C - Another Array Problem,"brute force,constructive algorithms,greedy",1763,C,Another Array Problem,PROGRAMMING,1500.0,2000.0
1763B - Incinerate,"binary search,brute force,data structures,implementation,math,sortings",1763,B,Incinerate,PROGRAMMING,1000.0,1200.0
1763A - Absolute Maximization,"bitmasks,constructive algorithms,greedy,math",1763,A,Absolute Maximization,PROGRAMMING,500.0,800.0
1762G - Unequal Adjacent Elements,"constructive algorithms,sortings",1762,G,Unequal Adjacent Elements,PROGRAMMING,3500.0,3100.0
1762F - Good Pairs ,"binary search,data structures,dp",1762,F,Good Pairs ,PROGRAMMING,2750.0,2600.0
1762E - Tree Sum,"combinatorics,math,trees",1762,E,Tree Sum,PROGRAMMING,2500.0,2600.0
1762D - GCD Queries ,"constructive algorithms,interactive,number theory",1762,D,GCD Queries ,PROGRAMMING,2000.0,2100.0
1762C - Binary Strings are Fun,"combinatorics,math",1762,C,Binary Strings are Fun,PROGRAMMING,1750.0,1400.0
1762B - Make Array Good,"constructive algorithms,implementation,number theory,sortings",1762,B,Make Array Good,PROGRAMMING,1000.0,1100.0
1762A - Divide and Conquer,"greedy,math,number theory",1762,A,Divide and Conquer,PROGRAMMING,500.0,800.0
1761G - Centroid Guess,"interactive,probabilities,trees",1761,G,Centroid Guess,PROGRAMMING,3500.0,3500.0
1761F2 - Anti-median (Hard Version),"combinatorics,dp,math",1761,F2,Anti-median (Hard Version),PROGRAMMING,2000.0,3500.0
1761F1 - Anti-median (Easy Version),"dp,math",1761,F1,Anti-median (Easy Version),PROGRAMMING,2500.0,3100.0
1761E - Make It Connected,"binary search,brute force,constructive algorithms,dsu,graphs,greedy,matrices,trees,two pointers",1761,E,Make It Connected,PROGRAMMING,1750.0,2400.0
1761D - Carry Bit,"combinatorics,math",1761,D,Carry Bit,PROGRAMMING,1750.0,2100.0
1761C - Set Construction,"constructive algorithms,dfs and similar,graphs,greedy",1761,C,Set Construction,PROGRAMMING,1250.0,1400.0
1761B - Elimination of a Ring,"constructive algorithms,greedy,implementation",1761,B,Elimination of a Ring,PROGRAMMING,1000.0,1000.0
1761A - Two Permutations,"brute force,constructive algorithms",1761,A,Two Permutations,PROGRAMMING,500.0,800.0
1760G - SlavicG's Favorite Problem,"bitmasks,dfs and similar,graphs",1760,G,SlavicG's Favorite Problem,PROGRAMMING,,1700.0
1760F - Quests,"binary search,greedy,sortings",1760,F,Quests,PROGRAMMING,,1500.0
1760E - Binary Inversions,"data structures,greedy,math",1760,E,Binary Inversions,PROGRAMMING,,1100.0
1760D - Challenging Valleys,"implementation,two pointers",1760,D,Challenging Valleys,PROGRAMMING,,1000.0
1760C - Advantage,"data structures,implementation,sortings",1760,C,Advantage,PROGRAMMING,,800.0
1760B - Atilla's Favorite Problem,"greedy,implementation,strings",1760,B,Atilla's Favorite Problem,PROGRAMMING,,800.0
1760A - Medium Number,"implementation,sortings",1760,A,Medium Number,PROGRAMMING,,800.0
1759G - Restore the Permutation,"binary search,constructive algorithms,data structures,greedy,math",1759,G,Restore the Permutation,PROGRAMMING,,1900.0
1759F - All Possible Digits,"binary search,data structures,greedy,math,number theory",1759,F,All Possible Digits,PROGRAMMING,,1800.0
1759E - The Humanoid,"brute force,dp,sortings",1759,E,The Humanoid,PROGRAMMING,,1500.0
1759D - Make It Round,"brute force,number theory",1759,D,Make It Round,PROGRAMMING,,1400.0
1759C - Thermostat,"greedy,math,shortest paths",1759,C,Thermostat,PROGRAMMING,,1100.0
1759B - Lost Permutation,math,1759,B,Lost Permutation,PROGRAMMING,,800.0
1759A - Yes-Yes?,"implementation,strings",1759,A,Yes-Yes?,PROGRAMMING,,800.0
1758F - Decent Division,"constructive algorithms,data structures",1758,F,Decent Division,PROGRAMMING,3000.0,3000.0
"1758E - Tick, Tock","combinatorics,dfs and similar,dsu,graphs",1758,E,"Tick, Tock",PROGRAMMING,2250.0,2500.0
1758D - Range = √Sum,"binary search,brute force,constructive algorithms,math,two pointers",1758,D,Range = √Sum,PROGRAMMING,1750.0,1800.0
1758C - Almost All Multiples,"greedy,number theory",1758,C,Almost All Multiples,PROGRAMMING,1500.0,1400.0
1758B - XOR = Average,constructive algorithms,1758,B,XOR = Average,PROGRAMMING,1000.0,900.0
1758A - SSeeeeiinngg DDoouubbllee,"constructive algorithms,strings",1758,A,SSeeeeiinngg DDoouubbllee,PROGRAMMING,500.0,800.0
1754B - Kevin and Permutation,"constructive algorithms,greedy,math",1754,B,Kevin and Permutation,PROGRAMMING,1000.0,800.0
1754A - Technical Support,greedy,1754,A,Technical Support,PROGRAMMING,500.0,800.0
1753F - Minecraft Series,"brute force,two pointers",1753,F,Minecraft Series,PROGRAMMING,3000.0,3500.0
1753E - N Machines,"binary search,brute force,greedy",1753,E,N Machines,PROGRAMMING,2500.0,3300.0
1753D - The Beach,"constructive algorithms,dfs and similar,graphs,shortest paths",1753,D,The Beach,PROGRAMMING,2000.0,2400.0
1753C - Wish I Knew How to Sort,"dp,math,probabilities",1753,C,Wish I Knew How to Sort,PROGRAMMING,1750.0,2000.0
1753B - Factorial Divisibility,"math,number theory",1753,B,Factorial Divisibility,PROGRAMMING,750.0,1600.0
1753A2 - Make Nonzero Sum (hard version),"constructive algorithms,dp,greedy",1753,A2,Make Nonzero Sum (hard version),PROGRAMMING,500.0,1500.0
1753A1 - Make Nonzero Sum (easy version),"constructive algorithms,dp,greedy",1753,A1,Make Nonzero Sum (easy version),PROGRAMMING,500.0,1300.0
1750H - BinaryStringForces,"constructive algorithms,data structures,dp",1750,H,BinaryStringForces,PROGRAMMING,3500.0,3500.0
1750G - Doping,"combinatorics,dp,math",1750,G,Doping,PROGRAMMING,3250.0,3300.0
1750F - Majority,"combinatorics,dp,math,strings",1750,F,Majority,PROGRAMMING,2500.0,2700.0
1750E - Bracket Cost,"binary search,data structures,divide and conquer,dp,greedy,strings",1750,E,Bracket Cost,PROGRAMMING,2250.0,2400.0
1750D - Count GCD,"combinatorics,math,number theory",1750,D,Count GCD,PROGRAMMING,1750.0,1800.0
1750C - Complementary XOR,"constructive algorithms,implementation",1750,C,Complementary XOR,PROGRAMMING,1250.0,1400.0
1750B - Maximum Substring,"brute force,greedy,implementation",1750,B,Maximum Substring,PROGRAMMING,750.0,800.0
1750A - Indirect Sort,"constructive algorithms,implementation,math",1750,A,Indirect Sort,PROGRAMMING,500.0,800.0
1749F - Distance to the Path,"data structures,dfs and similar,trees",1749,F,Distance to the Path,PROGRAMMING,,2800.0
1749E - Cactus Wall,"constructive algorithms,dfs and similar,graphs,shortest paths",1749,E,Cactus Wall,PROGRAMMING,,2400.0
1749D - Counting Arrays,"combinatorics,dp,math,number theory",1749,D,Counting Arrays,PROGRAMMING,,1900.0
1749C - Number Game,"binary search,data structures,games,greedy,implementation",1749,C,Number Game,PROGRAMMING,,1400.0
1749B - Death's Blessing,greedy,1749,B,Death's Blessing,PROGRAMMING,,900.0
1749A - Cowardly Rooks,"greedy,implementation",1749,A,Cowardly Rooks,PROGRAMMING,,800.0
1748F - Circular Xor Reversal,"bitmasks,constructive algorithms",1748,F,Circular Xor Reversal,PROGRAMMING,2750.0,3000.0
1748E - Yet Another Array Counting Problem,"binary search,data structures,divide and conquer,dp,flows,math,trees",1748,E,Yet Another Array Counting Problem,PROGRAMMING,2250.0,2300.0
1748D - ConstructOR ,"bitmasks,chinese remainder theorem,combinatorics,constructive algorithms,math,number theory",1748,D,ConstructOR ,PROGRAMMING,2000.0,2100.0
1748C - Zero-Sum Prefixes,"brute force,data structures,dp,greedy,implementation",1748,C,Zero-Sum Prefixes,PROGRAMMING,1500.0,1600.0
1748B - Diverse Substrings,"brute force,implementation,strings",1748,B,Diverse Substrings,PROGRAMMING,1000.0,1400.0
1748A - The Ultimate Square,math,1748,A,The Ultimate Square,PROGRAMMING,500.0,800.0
1747E - List Generation,"combinatorics,dp,math",1747,E,List Generation,PROGRAMMING,2500.0,2900.0
1747D - Yet Another Problem,"binary search,bitmasks,constructive algorithms,data structures",1747,D,Yet Another Problem,PROGRAMMING,1750.0,1900.0
1747C - Swap Game,games,1747,C,Swap Game,PROGRAMMING,1250.0,1200.0
1747B - BAN BAN,constructive algorithms,1747,B,BAN BAN,PROGRAMMING,1000.0,900.0
1747A - Two Groups,"constructive algorithms,greedy",1747,A,Two Groups,PROGRAMMING,500.0,800.0
1746G - Olympiad Training,"binary search,data structures,dp,flows,geometry,implementation,sortings",1746,G,Olympiad Training,PROGRAMMING,3500.0,3500.0
1746F - Kazaee,"data structures,hashing,probabilities",1746,F,Kazaee,PROGRAMMING,2500.0,2800.0
1746E2 - Joking (Hard Version),"dp,interactive",1746,E2,Joking (Hard Version),PROGRAMMING,1750.0,3200.0
1746E1 - Joking (Easy Version),"binary search,constructive algorithms,interactive,ternary search",1746,E1,Joking (Easy Version),PROGRAMMING,2000.0,2500.0
1746D - Paths on the Tree,"dfs and similar,dp,greedy,sortings,trees",1746,D,Paths on the Tree,PROGRAMMING,1500.0,1900.0
1746C - Permutation Operations,"constructive algorithms,greedy,implementation,math",1746,C,Permutation Operations,PROGRAMMING,1000.0,1300.0
1746B - Rebellion,"constructive algorithms,greedy,two pointers",1746,B,Rebellion,PROGRAMMING,1000.0,800.0
1746A - Maxmina,"constructive algorithms,greedy",1746,A,Maxmina,PROGRAMMING,500.0,800.0
1744F - MEX vs MED,"math,two pointers",1744,F,MEX vs MED,PROGRAMMING,,2000.0
1744E2 - Divisible Numbers (hard version),"brute force,math,number theory",1744,E2,Divisible Numbers (hard version),PROGRAMMING,,1900.0
1744E1 - Divisible Numbers (easy version),"brute force,math,number theory",1744,E1,Divisible Numbers (easy version),PROGRAMMING,,1500.0
1744D - Divisibility by 2^n,"greedy,math,sortings",1744,D,Divisibility by 2^n,PROGRAMMING,,1200.0
